"Date","facility_name","Admissions","Attendance","Tri_1","Tri_2","Tri_3","Tri_4","Tri_5"
2013-07-10,"Fremantle Hospital",58,131,0,31,43,45,10
2013-07-10,"Princess Margaret Hospital For Children",36,181,5,12,55,108,0
2013-07-10,"King Edward Memorial Hospital For Women",3,43,0,0,5,15,23
2013-07-10,"Sir Charles Gairdner Hospital",103,160,4,49,68,37,0
2013-07-10,"Armadale/Kelmscott District Memorial Hospital",24,155,0,32,71,39,11
2013-07-10,"Swan District Hospital",23,115,0,17,52,44,0
2013-07-10,"Rockingham General Hospital",4,145,0,12,62,63,6
2013-07-10,"Joondalup Health Campus",74,236,0,28,74,119,15
2013-07-11,"Royal Perth Hospital",94,202,0,34,79,74,14
2013-07-11,"Fremantle Hospital",57,128,0,28,42,40,17
2013-07-11,"Princess Margaret Hospital For Children",25,162,0,5,50,105,0
2013-07-11,"King Edward Memorial Hospital For Women",0,38,0,0,3,18,17
2013-07-11,"Sir Charles Gairdner Hospital",100,160,0,35,81,43,0
2013-07-11,"Armadale/Kelmscott District Memorial Hospital",26,149,0,21,69,53,6
2013-07-11,"Swan District Hospital",28,119,0,32,47,28,12
2013-07-11,"Rockingham General Hospital",13,126,0,17,48,59,0
2013-07-11,"Joondalup Health Campus",77,216,3,26,84,93,10
2013-07-12,"Royal Perth Hospital",118,214,7,34,72,80,21
2013-07-12,"Fremantle Hospital",59,145,0,21,59,49,14
2013-07-12,"Princess Margaret Hospital For Children",33,190,0,6,62,119,0
2013-07-12,"King Edward Memorial Hospital For Women",4,47,0,0,5,27,15
2013-07-12,"Sir Charles Gairdner Hospital",136,200,3,54,98,43,0
2013-07-12,"Armadale/Kelmscott District Memorial Hospital",20,144,0,23,50,61,9
2013-07-12,"Swan District Hospital",28,114,0,21,52,35,5
2013-07-12,"Rockingham General Hospital",20,157,0,18,56,78,5
2013-07-12,"Joondalup Health Campus",72,209,3,21,90,81,14
2013-07-13,"Royal Perth Hospital",99,220,6,31,78,92,13
2013-07-13,"Fremantle Hospital",64,141,4,26,63,35,13
2013-07-13,"Princess Margaret Hospital For Children",19,145,0,0,33,110,0
2013-07-13,"King Edward Memorial Hospital For Women",0,31,0,0,3,18,10
2013-07-13,"Sir Charles Gairdner Hospital",106,176,4,39,75,54,4
2013-07-13,"Armadale/Kelmscott District Memorial Hospital",20,165,0,19,76,64,5
2013-07-13,"Swan District Hospital",18,147,0,21,56,62,6
2013-07-13,"Rockingham General Hospital",11,121,0,13,44,63,0
2013-07-13,"Joondalup Health Campus",76,224,0,23,99,92,8
2013-07-14,"Royal Perth Hospital",79,212,5,38,67,87,14
2013-07-14,"Fremantle Hospital",47,146,0,27,40,70,8
2013-07-14,"Princess Margaret Hospital For Children",35,184,0,3,40,136,5
2013-07-14,"King Edward Memorial Hospital For Women",5,29,0,0,6,15,7
2013-07-14,"Sir Charles Gairdner Hospital",106,156,3,32,84,34,3
2013-07-14,"Armadale/Kelmscott District Memorial Hospital",15,184,0,26,67,85,6
2013-07-14,"Swan District Hospital",25,135,0,21,60,45,8
2013-07-14,"Rockingham General Hospital",20,129,0,14,49,62,3
2013-07-14,"Joondalup Health Campus",66,246,0,27,100,109,9
2013-07-15,"Royal Perth Hospital",118,249,6,47,80,104,11
2013-07-15,"Fremantle Hospital",70,152,0,30,67,46,9
2013-07-15,"Princess Margaret Hospital For Children",40,202,0,10,56,135,0
2013-07-15,"King Edward Memorial Hospital For Women",4,49,0,0,0,28,19
2013-07-15,"Sir Charles Gairdner Hospital",116,186,3,45,80,54,4
2013-07-15,"Armadale/Kelmscott District Memorial Hospital",20,141,0,16,56,63,6
2013-07-15,"Swan District Hospital",25,132,0,21,53,52,5
2013-07-15,"Rockingham General Hospital",16,160,0,26,46,79,7
2013-07-15,"Joondalup Health Campus",86,268,5,38,107,113,5
2013-07-16,"Royal Perth Hospital",73,211,4,37,70,71,28
2013-07-16,"Fremantle Hospital",63,129,0,23,59,41,5
2013-07-16,"Princess Margaret Hospital For Children",37,175,0,11,49,110,5
2013-07-16,"King Edward Memorial Hospital For Women",0,41,0,0,6,16,18
2013-07-16,"Sir Charles Gairdner Hospital",104,152,3,41,73,33,0
2013-07-16,"Armadale/Kelmscott District Memorial Hospital",20,141,0,29,60,44,7
2013-07-16,"Swan District Hospital",18,105,0,25,31,41,7
2013-07-16,"Rockingham General Hospital",11,129,0,10,49,68,0
2013-07-16,"Joondalup Health Campus",73,213,0,30,85,88,9
2013-07-17,"Royal Perth Hospital",81,195,4,34,73,77,7
2013-07-17,"Fremantle Hospital",67,133,0,27,58,37,10
2013-07-17,"Princess Margaret Hospital For Children",25,181,0,5,57,118,0
2013-07-17,"King Edward Memorial Hospital For Women",6,47,0,0,4,25,17
2013-07-17,"Sir Charles Gairdner Hospital",98,159,3,31,81,41,3
2013-07-17,"Armadale/Kelmscott District Memorial Hospital",22,134,0,23,48,60,0
2013-07-17,"Swan District Hospital",30,118,0,30,46,32,10
2013-07-17,"Rockingham General Hospital",19,127,0,21,46,51,9
2013-07-17,"Joondalup Health Campus",77,216,0,30,95,85,5
2013-07-18,"Royal Perth Hospital",88,209,0,37,70,97,4
2013-07-18,"Fremantle Hospital",58,134,0,33,48,47,5
2013-07-18,"Princess Margaret Hospital For Children",35,195,0,5,43,143,3
2013-07-18,"King Edward Memorial Hospital For Women",3,38,0,0,4,14,20
2013-07-18,"Sir Charles Gairdner Hospital",115,171,3,34,98,36,0
2013-07-18,"Armadale/Kelmscott District Memorial Hospital",25,143,0,20,66,50,6
2013-07-18,"Swan District Hospital",22,102,0,10,36,41,13
2013-07-18,"Rockingham General Hospital",18,110,0,17,38,52,3
2013-07-18,"Joondalup Health Campus",72,213,0,26,73,109,4
2013-07-19,"Royal Perth Hospital",88,209,3,30,75,84,17
2013-07-19,"Fremantle Hospital",65,154,0,26,53,59,14
2013-07-19,"Princess Margaret Hospital For Children",35,155,0,11,41,98,4
2013-07-19,"King Edward Memorial Hospital For Women",4,52,0,0,7,28,17
2013-07-19,"Sir Charles Gairdner Hospital",100,148,5,37,70,34,0
2013-07-19,"Armadale/Kelmscott District Memorial Hospital",22,146,0,15,51,76,0
2013-07-19,"Swan District Hospital",15,106,0,16,39,45,4
2013-07-19,"Rockingham General Hospital",17,133,0,23,61,43,5
2013-07-19,"Joondalup Health Campus",62,220,0,22,88,98,10
2013-07-20,"Royal Perth Hospital",70,195,7,31,65,76,15
2013-07-20,"Fremantle Hospital",53,147,0,30,53,51,13
2013-07-20,"Princess Margaret Hospital For Children",29,177,0,7,47,118,4
2013-07-20,"King Edward Memorial Hospital For Women",3,34,0,0,7,20,7
2013-07-20,"Sir Charles Gairdner Hospital",104,171,0,47,73,46,5
2013-07-20,"Armadale/Kelmscott District Memorial Hospital",20,151,0,15,51,79,4
2013-07-20,"Swan District Hospital",32,125,0,19,52,46,7
2013-07-20,"Rockingham General Hospital",17,132,0,19,47,63,0
2013-07-20,"Joondalup Health Campus",63,249,0,21,94,122,12
2013-07-21,"Royal Perth Hospital",84,208,5,27,83,83,10
2013-07-21,"Fremantle Hospital",51,166,4,26,62,61,13
2013-07-21,"Princess Margaret Hospital For Children",33,204,0,5,57,134,6
2013-07-21,"King Edward Memorial Hospital For Women",0,24,0,0,0,19,3
2013-07-21,"Sir Charles Gairdner Hospital",90,174,0,33,78,60,0
2013-07-21,"Armadale/Kelmscott District Memorial Hospital",16,173,0,25,48,93,7
2013-07-21,"Swan District Hospital",26,119,0,22,50,44,0
2013-07-21,"Rockingham General Hospital",22,143,0,17,55,64,6
2013-07-21,"Joondalup Health Campus",63,244,0,27,81,124,11
2013-07-22,"Royal Perth Hospital",91,207,5,51,76,68,7
2013-07-22,"Fremantle Hospital",58,144,3,24,51,60,6
2013-07-22,"Princess Margaret Hospital For Children",47,221,0,12,64,141,3
2013-07-22,"King Edward Memorial Hospital For Women",4,51,0,0,4,26,19
2013-07-22,"Sir Charles Gairdner Hospital",112,176,5,39,82,47,3
2013-07-22,"Armadale/Kelmscott District Memorial Hospital",31,161,0,20,50,76,14
2013-07-22,"Swan District Hospital",22,120,0,27,39,42,12
2013-07-22,"Rockingham General Hospital",12,146,0,17,55,66,8
2013-07-22,"Joondalup Health Campus",88,261,0,32,92,129,6
2013-07-23,"Royal Perth Hospital",93,222,7,41,94,73,7
2013-07-23,"Fremantle Hospital",56,134,3,20,54,44,13
2013-07-23,"Princess Margaret Hospital For Children",40,183,0,15,63,101,3
2013-07-23,"King Edward Memorial Hospital For Women",4,45,0,0,0,24,18
2013-07-23,"Sir Charles Gairdner Hospital",104,159,5,41,69,40,4
2013-07-23,"Armadale/Kelmscott District Memorial Hospital",22,150,0,19,69,56,5
2013-07-23,"Swan District Hospital",24,116,0,19,51,42,4
2013-07-23,"Rockingham General Hospital",20,141,0,21,58,57,5
2013-07-23,"Joondalup Health Campus",76,233,0,36,98,91,8
2013-07-24,"Royal Perth Hospital",96,199,0,25,83,73,15
2013-07-24,"Fremantle Hospital",68,133,0,27,62,31,12
2013-07-24,"Princess Margaret Hospital For Children",35,178,0,13,58,105,0
2013-07-24,"King Edward Memorial Hospital For Women",0,40,0,0,5,14,20
2013-07-24,"Sir Charles Gairdner Hospital",112,175,4,54,67,42,8
2013-07-24,"Armadale/Kelmscott District Memorial Hospital",29,153,0,24,59,58,12
2013-07-24,"Swan District Hospital",22,129,0,30,59,34,5
2013-07-24,"Rockingham General Hospital",0,136,0,12,41,75,8
2013-07-24,"Joondalup Health Campus",76,228,3,39,73,105,8
2013-07-25,"Royal Perth Hospital",96,191,0,27,85,72,6
2013-07-25,"Fremantle Hospital",56,149,0,19,62,50,17
2013-07-25,"Princess Margaret Hospital For Children",24,196,0,8,43,142,3
2013-07-25,"King Edward Memorial Hospital For Women",6,43,0,0,4,16,23
2013-07-25,"Sir Charles Gairdner Hospital",93,138,3,38,63,32,0
2013-07-25,"Armadale/Kelmscott District Memorial Hospital",22,143,0,31,48,55,8
2013-07-25,"Swan District Hospital",26,115,0,12,53,40,8
2013-07-25,"Rockingham General Hospital",15,136,0,22,37,73,3
2013-07-25,"Joondalup Health Campus",73,235,0,31,109,84,11
2013-07-26,"Royal Perth Hospital",114,208,4,30,100,61,12
2013-07-26,"Fremantle Hospital",55,126,0,23,34,48,20
2013-07-26,"Princess Margaret Hospital For Children",31,148,0,5,40,103,0
2013-07-26,"King Edward Memorial Hospital For Women",3,42,0,0,5,25,12
2013-07-26,"Sir Charles Gairdner Hospital",113,178,0,39,95,38,5
2013-07-26,"Armadale/Kelmscott District Memorial Hospital",16,126,0,12,35,66,12
2013-07-26,"Swan District Hospital",24,107,0,16,37,44,8
2013-07-26,"Rockingham General Hospital",19,137,0,18,46,72,0
2013-07-26,"Joondalup Health Campus",64,203,0,27,90,82,4
2013-07-27,"Royal Perth Hospital",70,199,0,39,71,71,16
2013-07-27,"Fremantle Hospital",49,137,0,29,60,39,9
2013-07-27,"Princess Margaret Hospital For Children",31,183,0,7,46,129,0
2013-07-27,"King Edward Memorial Hospital For Women",5,26,0,0,4,16,6
2013-07-27,"Sir Charles Gairdner Hospital",99,179,5,35,88,48,3
2013-07-27,"Armadale/Kelmscott District Memorial Hospital",11,157,0,25,46,79,6
2013-07-27,"Swan District Hospital",27,114,0,20,42,49,3
2013-07-27,"Rockingham General Hospital",20,138,0,11,57,65,4
2013-07-27,"Joondalup Health Campus",70,222,0,32,65,121,3
2013-07-28,"Royal Perth Hospital",77,232,9,18,71,101,32
2013-07-28,"Fremantle Hospital",55,152,0,20,64,56,11
2013-07-28,"Princess Margaret Hospital For Children",39,206,0,11,53,139,0
2013-07-28,"King Edward Memorial Hospital For Women",5,24,0,0,3,15,6
2013-07-28,"Sir Charles Gairdner Hospital",115,183,0,36,93,50,0
2013-07-28,"Armadale/Kelmscott District Memorial Hospital",19,188,0,22,67,92,7
2013-07-28,"Swan District Hospital",23,117,0,36,52,27,0
2013-07-28,"Rockingham General Hospital",17,138,0,19,60,53,5
2013-07-28,"Joondalup Health Campus",69,253,0,28,95,122,6
2013-07-29,"Royal Perth Hospital",104,234,6,46,80,87,14
2013-07-29,"Fremantle Hospital",70,156,0,27,55,58,15
2013-07-29,"Princess Margaret Hospital For Children",47,194,0,9,53,130,0
2013-07-29,"King Edward Memorial Hospital For Women",3,42,0,0,4,17,21
2013-07-29,"Sir Charles Gairdner Hospital",106,176,0,46,62,63,4
2013-07-29,"Armadale/Kelmscott District Memorial Hospital",30,168,0,29,58,68,12
2013-07-29,"Swan District Hospital",22,128,0,24,58,37,8
2013-07-29,"Rockingham General Hospital",14,163,0,14,66,75,8
2013-07-29,"Joondalup Health Campus",79,259,0,40,76,138,4
2013-07-30,"Royal Perth Hospital",113,221,3,30,96,85,7
2013-07-30,"Fremantle Hospital",62,154,0,30,57,53,12
2013-07-30,"Princess Margaret Hospital For Children",26,168,0,7,49,110,0
2013-07-30,"King Edward Memorial Hospital For Women",6,40,0,0,6,24,10
2013-07-30,"Sir Charles Gairdner Hospital",99,161,0,40,82,38,0
2013-07-30,"Armadale/Kelmscott District Memorial Hospital",26,154,0,22,65,62,4
2013-07-30,"Swan District Hospital",13,81,0,9,36,32,4
2013-07-30,"Rockingham General Hospital",11,135,0,26,41,60,8
2013-07-30,"Joondalup Health Campus",81,226,0,30,82,112,0
2013-07-31,"Royal Perth Hospital",107,227,3,51,97,65,11
2013-07-31,"Fremantle Hospital",61,145,0,15,48,60,21
2013-07-31,"Princess Margaret Hospital For Children",35,180,0,11,37,127,3
2013-07-31,"King Edward Memorial Hospital For Women",4,45,0,0,5,22,18
2013-07-31,"Sir Charles Gairdner Hospital",112,172,0,42,92,34,4
2013-07-31,"Armadale/Kelmscott District Memorial Hospital",18,158,0,23,63,54,18
2013-07-31,"Swan District Hospital",27,96,0,16,37,37,6
2013-07-31,"Rockingham General Hospital",20,139,0,15,61,55,6
2013-07-31,"Joondalup Health Campus",71,262,0,30,79,146,7
2013-08-01,"Royal Perth Hospital",96,207,0,45,95,59,6
2013-08-01,"Fremantle Hospital",55,131,3,30,45,41,12
2013-08-01,"Princess Margaret Hospital For Children",37,205,0,8,54,140,3
2013-08-01,"King Edward Memorial Hospital For Women",5,47,0,0,5,23,18
2013-08-01,"Sir Charles Gairdner Hospital",109,191,4,35,101,47,4
2013-08-01,"Armadale/Kelmscott District Memorial Hospital",26,153,0,27,61,53,10
2013-08-01,"Swan District Hospital",32,104,0,24,37,36,6
2013-08-01,"Rockingham General Hospital",19,133,0,20,46,57,9
2013-08-01,"Joondalup Health Campus",70,246,0,24,90,125,7
2013-08-02,"Royal Perth Hospital",105,212,0,37,74,84,16
2013-08-02,"Fremantle Hospital",75,144,0,40,43,52,8
2013-08-02,"Princess Margaret Hospital For Children",38,185,0,11,45,126,0
2013-08-02,"King Edward Memorial Hospital For Women",4,44,0,0,7,25,12
2013-08-02,"Sir Charles Gairdner Hospital",109,170,0,53,80,31,4
2013-08-02,"Armadale/Kelmscott District Memorial Hospital",17,150,0,21,55,64,9
2013-08-02,"Swan District Hospital",26,95,0,23,31,33,7
2013-08-02,"Rockingham General Hospital",19,152,0,16,58,75,0
2013-08-02,"Joondalup Health Campus",69,238,0,18,101,112,6
2013-08-03,"Royal Perth Hospital",86,223,5,34,89,87,7
2013-08-03,"Fremantle Hospital",74,168,0,30,63,56,17
2013-08-03,"Princess Margaret Hospital For Children",47,235,0,9,48,175,0
2013-08-03,"King Edward Memorial Hospital For Women",3,37,0,0,8,18,11
2013-08-03,"Sir Charles Gairdner Hospital",100,165,3,37,77,45,3
2013-08-03,"Armadale/Kelmscott District Memorial Hospital",15,180,0,26,72,71,10
2013-08-03,"Swan District Hospital",17,136,0,24,50,53,8
2013-08-03,"Rockingham General Hospital",18,145,3,15,38,86,3
2013-08-03,"Joondalup Health Campus",78,269,0,29,115,124,0
2013-08-04,"Royal Perth Hospital",97,249,4,31,68,124,21
2013-08-04,"Fremantle Hospital",48,161,3,22,49,68,19
2013-08-04,"Princess Margaret Hospital For Children",40,256,0,14,52,184,4
2013-08-04,"King Edward Memorial Hospital For Women",0,27,0,0,0,16,10
2013-08-04,"Sir Charles Gairdner Hospital",114,178,3,42,75,55,3
2013-08-04,"Armadale/Kelmscott District Memorial Hospital",20,208,0,16,76,107,7
2013-08-04,"Swan District Hospital",17,140,0,35,57,37,10
2013-08-04,"Rockingham General Hospital",14,179,0,12,62,99,5
2013-08-04,"Joondalup Health Campus",72,297,3,41,107,142,4
2013-08-05,"Royal Perth Hospital",116,238,0,41,84,101,10
2013-08-05,"Fremantle Hospital",54,142,0,18,58,43,22
2013-08-05,"Princess Margaret Hospital For Children",43,258,0,16,63,174,4
2013-08-05,"King Edward Memorial Hospital For Women",4,44,0,0,3,22,19
2013-08-05,"Sir Charles Gairdner Hospital",122,188,0,47,80,55,5
2013-08-05,"Armadale/Kelmscott District Memorial Hospital",29,185,0,23,76,84,0
2013-08-05,"Swan District Hospital",35,126,0,23,48,42,12
2013-08-05,"Rockingham General Hospital",19,168,0,18,50,90,8
2013-08-05,"Joondalup Health Campus",73,268,0,32,92,135,8
2013-08-06,"Royal Perth Hospital",101,241,3,36,72,115,14
2013-08-06,"Fremantle Hospital",59,150,0,42,54,44,8
2013-08-06,"Princess Margaret Hospital For Children",45,239,0,6,76,151,4
2013-08-06,"King Edward Memorial Hospital For Women",5,42,0,0,7,21,14
2013-08-06,"Sir Charles Gairdner Hospital",132,192,5,42,92,47,6
2013-08-06,"Armadale/Kelmscott District Memorial Hospital",28,174,3,25,70,70,6
2013-08-06,"Swan District Hospital",33,124,0,28,55,32,7
2013-08-06,"Rockingham General Hospital",23,151,0,20,44,78,9
2013-08-06,"Joondalup Health Campus",57,240,0,41,85,109,4
2013-08-07,"Royal Perth Hospital",95,238,3,44,96,82,13
2013-08-07,"Fremantle Hospital",58,146,3,28,52,49,14
2013-08-07,"Princess Margaret Hospital For Children",33,194,0,18,51,122,0
2013-08-07,"King Edward Memorial Hospital For Women",6,45,0,0,4,25,16
2013-08-07,"Sir Charles Gairdner Hospital",103,184,3,43,92,41,5
2013-08-07,"Armadale/Kelmscott District Memorial Hospital",29,166,0,16,67,72,10
2013-08-07,"Swan District Hospital",12,122,0,21,60,32,8
2013-08-07,"Rockingham General Hospital",7,154,0,12,57,78,6
2013-08-07,"Joondalup Health Campus",65,230,0,27,77,121,4
2013-08-08,"Royal Perth Hospital",100,233,5,43,82,84,19
2013-08-08,"Fremantle Hospital",63,146,0,31,57,43,13
2013-08-08,"Princess Margaret Hospital For Children",38,210,0,10,65,131,3
2013-08-08,"King Edward Memorial Hospital For Women",3,44,0,0,4,20,20
2013-08-08,"Sir Charles Gairdner Hospital",127,186,4,47,84,49,0
2013-08-08,"Armadale/Kelmscott District Memorial Hospital",23,171,0,32,63,65,10
2013-08-08,"Swan District Hospital",20,118,3,21,50,36,8
2013-08-08,"Rockingham General Hospital",11,140,0,20,45,70,4
2013-08-08,"Joondalup Health Campus",69,232,0,31,80,115,6
2013-08-09,"Royal Perth Hospital",109,231,8,51,76,84,12
2013-08-09,"Fremantle Hospital",60,150,0,35,51,54,9
2013-08-09,"Princess Margaret Hospital For Children",38,241,0,8,67,164,0
2013-08-09,"King Edward Memorial Hospital For Women",0,38,0,0,3,16,18
2013-08-09,"Sir Charles Gairdner Hospital",104,158,0,36,81,38,0
2013-08-09,"Armadale/Kelmscott District Memorial Hospital",10,141,0,23,53,59,5
2013-08-09,"Swan District Hospital",33,130,0,27,56,40,5
2013-08-09,"Rockingham General Hospital",7,155,0,19,54,80,0
2013-08-09,"Joondalup Health Campus",71,212,4,23,79,105,0
2013-08-10,"Royal Perth Hospital",83,221,3,27,81,97,13
2013-08-10,"Fremantle Hospital",46,144,0,23,40,57,24
2013-08-10,"Princess Margaret Hospital For Children",29,229,0,4,64,157,3
2013-08-10,"King Edward Memorial Hospital For Women",3,34,0,0,5,18,11
2013-08-10,"Sir Charles Gairdner Hospital",95,168,0,30,80,50,7
2013-08-10,"Armadale/Kelmscott District Memorial Hospital",21,165,0,16,59,80,10
2013-08-10,"Swan District Hospital",16,114,0,19,45,39,11
2013-08-10,"Rockingham General Hospital",17,159,0,16,48,91,3
2013-08-10,"Joondalup Health Campus",61,248,0,30,118,87,12
2013-08-11,"Royal Perth Hospital",83,227,0,32,86,88,21
2013-08-11,"Fremantle Hospital",57,172,0,27,69,49,26
2013-08-11,"Princess Margaret Hospital For Children",24,233,0,9,50,168,5
2013-08-11,"King Edward Memorial Hospital For Women",4,34,0,0,5,21,8
2013-08-11,"Sir Charles Gairdner Hospital",88,176,0,36,73,64,3
2013-08-11,"Armadale/Kelmscott District Memorial Hospital",17,195,0,22,86,80,5
2013-08-11,"Swan District Hospital",18,137,0,15,55,61,6
2013-08-11,"Rockingham General Hospital",10,125,0,16,41,64,4
2013-08-11,"Joondalup Health Campus",68,280,0,31,120,127,0
2013-08-12,"Royal Perth Hospital",90,250,3,26,101,87,33
2013-08-12,"Fremantle Hospital",75,186,0,36,68,65,17
2013-08-12,"Princess Margaret Hospital For Children",38,238,0,8,61,161,6
2013-08-12,"King Edward Memorial Hospital For Women",3,31,0,0,3,13,15
2013-08-12,"Sir Charles Gairdner Hospital",136,197,4,42,115,36,0
2013-08-12,"Armadale/Kelmscott District Memorial Hospital",23,202,0,23,75,97,6
2013-08-12,"Swan District Hospital",19,132,3,26,47,48,8
2013-08-12,"Rockingham General Hospital",20,155,0,25,48,78,4
2013-08-12,"Joondalup Health Campus",82,286,0,31,82,164,8
2013-08-13,"Royal Perth Hospital",76,210,0,40,75,87,7
2013-08-13,"Fremantle Hospital",62,160,0,25,53,57,24
2013-08-13,"Princess Margaret Hospital For Children",46,213,5,13,64,129,0
2013-08-13,"King Edward Memorial Hospital For Women",6,42,0,0,8,27,7
2013-08-13,"Sir Charles Gairdner Hospital",120,179,5,47,92,29,6
2013-08-13,"Armadale/Kelmscott District Memorial Hospital",25,173,0,20,74,68,11
